Id,Translated Name,,,Requirement,Quote,,Version
20101,突击老兵,,,,,,2021
20102,护卫队长,,,,,,2021-S01
20103,"桑铎·克里冈, 猎狗",,,,“杀人是最甜蜜的事。”,,2021
20104,"泰温·兰尼斯特, 凯岩城公爵",,,,“万事皆有器可善之，凡器皆有可善之事。”,,2021-S03
20105,"提利昂·兰尼斯特, 半人",,,,“他们都是一群勇士。让我们去手刃他们吧。”,,2021
20106,"巴利斯坦·赛尔弥, 御林铁卫队长",,,*不能编入包含御林铁卫单位的军队。*,“如今的七铁卫里，只有巴利斯坦·赛尔弥爵士有真本领，然而赛尔弥老矣。”——瓦里斯,,2021
20107,"詹姆·兰尼斯特, 御林铁卫",,,*不能编入包含御林铁卫单位的军队。*,“……固然是个宣过誓的白骑士，但我们都知道他发的誓有几分斤两。”——瓦里斯,,2021-S02
20108,"曼登·穆尔, 御林铁卫",,,*不能编入包含御林铁卫单位的军队。*,“死神穿着白袍子。”——提利昂·兰尼斯特,,2021
20109,"马林·特兰, 御林铁卫",,,*不能编入包含御林铁卫单位的军队。*,“但曾经，他们是奇迹，是全世界最光耀的战士……”——布兰·史塔克,,2021
20110,"亚历斯·奥克赫特, 御林铁卫",,,*不能编入包含御林铁卫单位的军队。*,“总有一些人觉得说出誓言比遵守誓言容易。”,,2021
20111,"柏洛斯·布劳恩, 御林铁卫",,,*不能编入包含御林铁卫单位的军队。*,“没人敢在御林铁卫面前威胁国王陛下！”,,2021-S01
20112,"普列斯顿·格林菲尔, 御林铁卫",,,*不能编入包含御林铁卫单位的军队。*,“谁什么都听，却什么都听不见？”“御林铁卫中的一员。”,,2021
20113,信仰冠军,,,,,,2021-S02
20114,"格雷果·克里冈, 泰温领主的疯狗",,,,“的确谁也挡不住格雷果。”,,2021
20115,"詹姆·兰尼斯特, 弑君者",,,,“人们称他‘兰尼斯特雄狮’，又在背后窃窃私语‘弑君者’这个名号。”,,2021-S03
20116,"格雷果·克里冈, 魔山",,,,“在这个王国里没有其他骑士能够在我们的敌人当中激起如此的恐怖。”,,S04
20117,"詹姆·兰尼斯特, 年轻的狮子",,,,“没人能像我。世上只有一个我。”,,2021
20118,"格雷果·克里冈, 马上的巨兽",,,,“我发誓，这个畜生的头是献给全国百姓最好的礼物。”——布林登·徒利,,2021
20120,"提利昂·兰尼斯特, 兰尼斯特巨人",,,,“他是我们中的巨人，一个来到世界尽头的巨人。”——伊蒙学士,,2021-S03
20121,"乔佛里·拜拉席恩, 乔佛里一世",,,,“那是我儿子，艾德，我怎么会养出这种儿子？”——劳勃·拜拉席恩,,2021-S02
20123,执法者守卫,,,,,,2021-S03
20124,克里冈屠夫,,,,,,2021-S02
20125,"大麻雀, 至圣者",,,,“我们都成了什么了。什么时候国王和大领主们得合着麻雀的叽叽喳喳声跳舞了。”,,2021
20126,"科本, 禁忌的知识",,,,“学城可以剥夺我的颈链，却不能剥夺我的知识。”,,2021
20127,"亚当·马尔布兰, 值得信赖的封臣",,,,“我很高兴能有机会用自己的剑来对付这个史塔克家的小子。”,,S04
20128,"劳勃·斯壮爵士, 沉默的巨人",,,*不能编入包含格雷果·克里冈的军队。只能编入包含科本或托曼·拜拉席恩，继任者的军队。*,“我们甚至不知道他是否还活着。”——凯冯·兰尼斯特,,2021
20129,"亚当·马尔布兰, 都城守备队队长",,,,“就像詹姆一样，他是那种别人都喜欢追随的人。”——提利昂·兰尼斯特,,2021-S02
20130,"凯冯·兰尼斯特, 全境守护者",,,,“有很多像你这样的好人正在为邪恶的事业而服务……”——瓦里斯,,S04
20131,大门看守,,,,,,2021
20201,"罗柏·史塔克, 少狼主",,,,“男人应当言而有信，人君更当如此。”,,2021-S03
20202,"大琼恩·安柏, 最后壁炉城伯爵",,,,“灰风咬掉他两根手指头，他却哈哈大笑。”,,S04
20203,安柏冠军,,,,,,2021
20204,誓言剑士队长,,,,,,2021
20205,"大琼恩·安柏, 凶悍的封臣",,,,“你父亲曾经对我说，大琼恩是他平生所见最勇猛无畏的人。”,,2021-S01
20206,"罗柏·史塔克, 年轻的狼",,,,“任何一把剑，唯有试过之后方才知其效果。”,,2021
20207,"布兰与阿多, 保护者与被监护人",,,,“阿多。阿多阿多。”“你是对的，这看起来似乎很危险。”,,2021-S01
20208,"布林登·徒利, 黑鱼",,,,“我作战的首要原则，凯特——是绝不让对方称心如意。”,,2021-S02
20209,"布林登·徒利, 不屈的骑士",,,,抬起你的眼睛，你会看到冰原狼旗帜仍在我们的城墙上空飘扬！,,2021
20210,"艾德·史塔克, 临冬城公爵",,,,去了解这些追随你的人，并让他们了解你。别让你的部下为了一个陌生人而死。”,,2021
20211,"罗德利克·凯索, 军队教头",,,,“以后的事，谁也说不准啊。”,,2021
20212,泽地人守望者,,,,,,2021
20213,"梅姬·莫尔蒙, 母熊",,,,“梅姬是个上了年纪的老怪物，固执、任性，脾气又差。”,,2021
20214,"布林登·徒利, 先锋渗透者",,,,“没人比布林登更了解北境的土地。”,,2021-S02
20215,"布林登·徒利, 边境骑兵指挥官",,,,“如果今日议和，马放南山，明日便得拿起武器，重返战场，这是没有意义的。”,,2021
20216,"梅拉·黎德, 精湛的猎手",,,,“泥人都鬼鬼崇崇，他们不像正派人一样光明正大的打。”——佛雷家的男孩,,2021-S01
20217,"玖健·黎德, 绿之视野",,,,“我们将灰水望的忠诚献给临冬城的主人。我们将炉火、心灵和收获都奉献于您。”,,2021
20218,"西利欧·佛瑞尔, 布拉佛斯首席剑士",,,*只能编入包含艾德·史塔克或艾莉亚·史塔克，狼女的军队中。*,“我的嘴巴骗人，我的眼睛和手说的可是真话，只是你视而不见。”,,2021
20219,"瑞肯·史塔克, 临冬城的王子",,,,“我们去找毛毛狗吧？”,,2021
20220,"欧莎, 矛妇守卫者",,,*只能编入包含瑞肯·史塔克的军队中，并附加至他的单位，无视常规附属限制。*,“我亲眼见过巨人，还听过森林之子的事迹，说到白鬼……”,,2021
20222,莫尔蒙老兵,,,,,,2021-S02
20223,泽地人求生者,,,,,,2021
20224,临冬城守卫,,,,,,2021
20225,"霍兰·黎德, 泽地之主",,,,“你从没见过他们，但他们注视着你。那些跟在他们身后进入沼泽的人有去无回。”,,2021
20226,拥护者队长,,,,,,2021
20227,"瑞卡德·卡史塔克, 有仇必报的封臣",,,,“罗柏，别搞错了——他们是你的封臣，不是你的朋友。”——凯瑟琳·史塔克,,2021
20228,"瑞卡德·卡史塔克, 卡霍城伯爵",,,,“打仗就是要死人的。你老爸教过你这点吗，小子？ ”,,2021
20229,"梅姬·莫尔蒙, 熊岛夫人",,,,“依我看，我妹妹此刻也应该带着她那群女儿，穿着男人的盔甲，加入你兄弟的军队去了南方。”——杰奥·莫尔蒙对琼恩·雪诺道,,S04
20301,"托蒙德·巨人克星, 雷拳",,,,“我觉得巨人克星托蒙德那样的人，当朋友是好朋友，作敌人则非常可怕。”,,S04
20302,"托蒙德·巨人克星, 吹牛大王、吹号者、破冰人",,,,“现在拿出蜜酒来！”,,2021-S02
20303,"曼斯·雷德, 塞外之王",,,,“我是我自己的冠军，我自己的傻瓜，我自己的竖琴师。”,,S04
20304,掠袭者队长,,,,,,2021
20305,穴居人头领,,,,,,2021
20306,矛妇女族长,,,,,,2021
20307,易形者,,,,,,S04
20308,老鹰,,,*本模型仅能被易形者建立联系能力所使用。*,,,2021
20309,狼,,,*本模型仅能被易形者建立联系能力所使用。*,,,2021
20310,斯迪的选民,,,,,,2021-S01
20313,"斯迪, 瑟恩的马格拿",,,,“对瑟恩人来说，马格拿与其说是人，不如说是活神。”,,2021
20314,骸骨冠军,,,,,,2021
20315,"叮当衫, 骸骨之王",,,,“ 叮当衫即使一天洗一百次手， 他的指甲里还会有血。”,,2021-S03
20316,"叮当衫, 残忍的刽子手",,,,“一个小个子，恶毒，奸诈，他既愚蠢又残忍。”,,2021
20317,"哈玛, 先锋队指挥官",,,,“我会用他的头装饰我的旗帜。变色龙比狗还坏。”,,2021
20318,"哈玛, 狗头",,,,“每两周就有一条新狗，一面新旗帜。”,,2021
20319,哈玛的旗手,,,*只能编入包含哈玛的军队中，本模型无视常规附属限制。*,“她几乎和讨厌乌鸦一样讨厌狗。”,,2021-S03
20320,"哭泣者, 恐怖屠夫",,,,“挖眼睛，这是哭泣者的手笔。瞎乌鸦才是好乌鸦，这是他的口头禅。”,,2021-S03
20321,"哭泣者, 残忍的暴君",,,,“哭泣者不会发誓，也不会披上黑衣。就连其他掠袭者也不信任他。”,,2021-S01
20322,"耶哥蕊特, 矛妇弓箭手",,,,“人们不能占有土地，正如不能占有海洋和天空。”,,2021
20323,"贾尔, 提拔的掠袭者队长",,,,“长城会保护自己。”,,2021-S02
20324,海象氏族酋长,,,,,,2021-S01
20325,"大海象, 穿越冰雪之地",,,,“哈呼。”,,S04
20326,"琼恩·雪诺, 乌鸦的叛变者",,,,“男人就是男人，女人就是女人，不管我们出生在长城的哪一边。”——瓦迩女士,,2021
20328,"波罗区, 野猪易形者",,,,“那么你要去哪呢？乌鸦？和你的白色大狗一起藏在黑城堡里？”,,2021-S01
20329,"大海象, 冰封海岸的首领",,,,“一个野蛮民族，男人们够差劲，女人们则更糟。”——托蒙德·巨人克星,,2021-S02
20401,恐怖堡队长,,,,,,2021
20402,"拉姆斯·雪诺, 波顿的私生子",,,,“波顿先生。告诉你，我老婆啃手指之前，居然敢叫我雪诺。”,,2021
20403,"拉姆斯·雪诺, 虐待狂",,,,“裸体的人少有秘密，但被剥皮的人没有秘密。”,,2021
20404,"席恩·葛雷乔伊, 臭佬",,,*只能编入包含拉姆斯·雪诺的军队中，并附加至他的单位，无视常规附属限制。*,“我不是席恩，才不是，那个变色龙早就死在临冬城了。我叫臭佬，臭佬臭佬，押韵怪佬。”,,2021-S01
20406,"布蕾妮, 塔斯的处女",,,,“正的骑士誓死保护弱者，把他人的性命放在自己的前面。”,,2021-S02
20407,"波隆, 佣兵",,,,“我是个佣兵，可不是圣人。”,,2021
20408,波顿剥皮者,,,,,,2021
20409,"瓦格·霍特, 赫伦堡的山羊",,,,“山羊是赫伦堡的领主，而赫伦堡的领主从不讨价还价。”,,2021-S03
20410,"瓦格·霍特, 残废控",,,,“泰温公爵到底养了多少怪物呀？”,,2021
20411,"达里奥·纳哈里斯, 暴鸦团团长",,,,“他毕竟只是个佣兵，也就是说，恬不知耻。”,,2021
20412,"达里奥·纳哈里斯, 鲁莽的佣兵",,,,“没有爱过一个女人，没有杀死一名对手，没有吃上一顿美餐，我便不算是活过一天。”,,2021
20413,"贾昆·赫加尔, 无名之人",,,,“凡人皆有一死。”,,2021
20414,暴鸦团副官,,,,,,2021
20415,"卢斯·波顿, 水蛭大人",,,,“心存畏惧，才能在这个充满谎言与背叛的世界上生存。”,,2021
20416,寻求财富之人,,,,,,2021
20417,寻求荣耀之人,,,,,,2021-S02
20418,黄金团军官,,,,,,2021-S03
20419,里斯水手长,,,,,,2021
20420,"艾莉亚·史塔克, 逃亡的公主",,,逃亡的公主艾莉亚·史塔克只能编入包含桑铎·克里冈，逃亡的保镖的军队中。,“那天夜里，憎恨的名字少了一个。”,,2021
20421,"桑铎·克里冈, 逃亡的保镖",,,,“狗变坏，错在主人。” -凯冯·兰尼斯特,,2021
20422,"罗尔杰, 盐场镇的疯狗",,,,“你要一个像我一样的鼻子?来跟我决斗吧，你就会得到一个。”,,2021
20423,"尖牙, 罗尔杰的疯狗",,,尖牙只能被编入包含罗尔杰的军队中。,“他的舌头已被割除，除了发出嘶嘶的响声外，他不会说话。,,2021
20424,"乔金, 暴鸦团指挥官",,,,"“暴鸦团并非孤身作战。”
-普兰达",,2021
20425,"鳏夫, 暴鸦团指挥官",,,暴鸦团指挥官鳏夫只能被编入包含暴鸦团指挥官乔金的军队中。,"“暴风鸦根本靠不住。”
-丹妮莉丝·坦格利安",,2021
20426,"乔金, 弓箭手指挥官",,,,"“五百名忠诚度不清楚的佣兵。”
-乔拉·莫尔蒙",,2021
20427,"鳏夫, 二把手",,,二把手鳏夫只能被编入包含弓箭手指挥官乔金的军队中。,"“我信任所有的手下——不过只在口水能
吐到的范围内。”
-达里奥·纳哈里斯",,2021
20501,"杰奥·莫尔蒙, 第997任总司令",,,,“等哪天死人在黑夜里大举入侵，你觉得谁坐在铁王座上还有差别么？”,,2021-S03
20502,"琼恩·雪诺, 第998任总司令",,,,“我父亲说过恐惧没有什么可耻的，重要的是我们怎样面对它。”,,2021-S02
20503,"琼恩·雪诺, “雪诺大人”",,,,“他们真正信仰的神明是荣誉与责任。”,,2021-S02
20504,守夜人队长,,,,,,2021-S02
20505,守夜人征兵官,,,,,,2021
20509,"艾里沙·索恩, 军团教头",,,,“等冬天一来，你们就会像苍蝇一样全部死得四脚朝天。”,,2021-S03
20510,"艾里沙·索恩, 恶毒的监工",,,,“比你们艾里沙爵士还有幽默感的死人我见得多了。”,,2021
20511,"唐纳·诺伊, 黑城堡的防务官",,,,“一个独臂铁匠杀死了强大的玛格？”哈！那一定是一场激烈的搏斗。”,,2021
20512,"格伦, 野牛",,,,“格伦才是丑的那个。”——派普,,2021-S03
20513,"派普, 猴子",,,*派普可以附加至包含格伦的单位中，无视常规附属限制。*,“你比我丑多了。至少我没有像蝙蝠一样的耳朵。”——格伦,,2021
20514,"断掌科林, 头发斑白的游骑兵",,,,“要不是愿为保家卫国而死，我们又为什么要披上黑衣？”,,S04
20516,"奥赛尔·亚威克, 观察者",,,,“选择你想要的人。这样就不是我了。”,,2021
20517,蝎弩改进 (奥赛尔·亚威克),,,*本卡只能编入包含奥赛尔·亚威克的军队中。将本卡附加至1个友方工匠蝎弩炮组单位中。你可以无视工匠蝎弩队的限制规则。*,,,2021
20518,资深工匠,,,,,,2021
20519,老练游骑兵,,,,,,2021
20520,守夜人元帅,,,限制: *你的军队至多只能包含2名守夜人元帅。*,,,2021
20521,蝎弩改进 (资深工匠),,,*本卡只能编入包含至少1个资深工匠的军队中。将本卡附加至1个友方工匠蝎弩炮组单位中。你可以无视工匠蝎弩炮组的限制规则。*,,,2021
20522,"奥赛尔·亚威克, 首席工匠",,,,“很少有人拥有首席工匠的知识与技能。”,,2021-S02
20523,"班杨·史塔克, 绝境长城的孤狼",,,,“守夜人是一个视死如归的团体，我们没有家庭羁绊。”,,2021
20524,"冷手, 神秘的向导",,,*你的军队不可以包含班杨·史塔克。*,“冷手在很久以前就死了。”,,2021-S02
20525,"山姆威尔·塔利, 杀手山姆",,,,“我去长城外打过仗，现在他们叫我‘杀手’山姆。”,,2021
20526,"冷手, 前乌鸦",,,*你的军队不可以包含班杨·史塔克。*,“死肉，干血，还有一点腐烂的味道，而且很冷。全身冰凉。”,,2021
20527,"班杨·史塔克, 首席游骑兵",,,,“长城上没有人比班扬·史塔克更熟悉鬼影森林。”,,2021-S03
20528,"卡特·派克, 铁民兄弟",,,,“……如果你搞砸了，我就把你的肝脏扒出来，和洋葱一起生吃。”,,2021
20529,"尤伦, 严厉的招募者",,,,“这回我弄到三十个人，老的少的全都要去守长城……”,,2021
20530,"纱丁, 总司令侍从",,,纱丁无视常规附属限制。,“不管纱丁在旧镇做了什么，他现在都是我们的兄弟……”——琼恩·雪诺,,2021-S02
20531,"纱丁, 勇敢的新兵",,,纱丁无视常规附属限制。,“在黑城堡呆了半年，他的手段变硬了……不过，他是否有勇气面对即将到来的事情……”,,2021
20532,"艾迪森·托勒特, 忧郁的艾迪",,,,“一旦他们想出办法去处理一匹死马，我们就是下一个。很可能我也是第一个。”,,2021-S03
20533,"班杨·史塔克, 在绝境长城以外",,,,“三年没见着班扬·史塔克了。说实话，我一点都不想念他。”——卡斯特,,S04
20534,"卡特·派克, 东海望指挥官",,,,“卡特·派克总是胆大包天。”——曼斯·雷德,,2021
20535,"丹尼斯·梅利斯特, 影子塔指挥官",,,,“不要让我后悔而死。”,,2021-S02
20601,"蓝礼·拜拉席恩, 有魅力的继承人",,,,“蓝礼像极了他的长兄劳勃，而与史坦尼斯判若云泥。”,,2021
20602,"史坦尼斯·拜拉席恩, 合法的继承人",,,,“国王没有朋友，只有臣民和敌人。”,,2021
20603,雄鹿骑士贵族,,,,,,2021-S03
20604,守卫队长,,,,,,2021-S01
20605,"史坦尼斯·拜拉席恩, 唯一的真王",,,,“他的继承权名正言顺……而且绝不心软。”——瓦里斯,,2021
20606,"戴冯·席渥斯, 国王的侍从",,,"效忠: **史坦尼斯·拜拉席恩**
*你的军队永远不能加入不同效忠对象的单位或附属。*",“你有个头脑清醒的父亲，戴冯。”——史坦尼斯·拜拉席恩,,2021
20607,"戴佛斯·席渥斯, 黑水河的英雄",,,,“他让我觉得，我手下倒该多几个走私者，少几个诸侯领主。”——史坦尼斯·拜拉席恩,,2021-S02
20608,"戴佛斯·席渥斯, 洋葱骑士",,,"效忠: **史坦尼斯·拜拉席恩**
*你的军队永远不能加入不同效忠对象的单位或附属。*",“走私者应该很能察言观色。”——史坦尼斯·拜拉席恩,,2021
20609,"安德鲁·伊斯蒙, 忠于王室",,,"效忠: **史坦尼斯·拜拉席恩**
*你的军队永远不能加入不同效忠对象的单位或附属。*",“即使在黑水河之战后，他仍然完全忠于唯一的真王。”,,2021
20610,"安德鲁·伊斯蒙, 首席王党",,,,“伊斯蒙家族对史坦尼斯的忠诚毋庸置疑。”,,2021
20611,"蓝礼·拜拉席恩, 风暴地领主",,,,“蓝礼像极了他的长兄劳勃，而与史坦尼斯判若云泥。”,,2021-S03
20612,"洛拉斯·提利尔, 百花骑士",,,,“我绝不会背叛蓝礼，无论言行。”,,2021-S02
20613,"洛拉斯·提利尔, 国王的侍从",,,"效忠: **蓝礼·拜拉席恩**
*你的军队永远不能加入不同效忠对象的单位或附属。*",“洛拉斯就是提利尔家的人，连玫瑰水都尿得出来。“——瑟曦·兰尼斯特,,2021-S02
20614,"布蕾妮, 蓝衣卫",,,"效忠: **蓝礼·拜拉席恩**
*你的军队永远不能加入不同效忠对象的单位或附属。*",“……布蕾妮只想为他而死。”——洛拉斯·提利尔,,2021
20615,"埃尔顿·伊斯蒙, 绿石堡伯爵",,,,“要活到他的年龄需要一定的狡猾。”,,2021-S02
20617,红祭司,,,"效忠: **史坦尼斯·拜拉席恩**
*你的军队永远不能加入不同效忠对象的单位或附属。*",,,2021-S01
20618,长矛队长,,,"效忠: **蓝礼·拜拉席恩**
*你的军队永远不能加入不同效忠对象的单位或附属。*",,,2021
20619,荆棘守卫哨兵,,,"效忠: **蓝礼·拜拉席恩**
*你的军队永远不能加入不同效忠对象的单位或附属。*",,,2021
20620,龙石岛贵族,,,"效忠: **史坦尼斯·拜拉席恩**
*你的军队永远不能加入不同效忠对象的单位或附属。你的军队仅能包含至多2个龙石岛贵族。*",,,2021
20621,"亚赛尔·佛罗伦, 狂热的信徒",,,"效忠: **史坦尼斯·拜拉席恩**
*你的军队永远不能加入不同效忠对象的单位或附属。*",“一片土地，一位神明，一个国王！”,,2021
20622,"亚赛尔·佛罗伦, 首席后党",,,,“史坦尼斯·拜拉席恩将坐上铁王座。我看到了。我知道该怎么做。”,,2021
20623,"科塔奈·庞洛斯, 忠诚的战术家",,,"效忠: **蓝礼·拜拉席恩**
*你的军队永远不能加入不同效忠对象的单位或附属。*",“愿世人唾弃你的光之王！”,,S04
20624,"科塔奈·庞洛斯, 风息堡的代理城主",,,,“一个固执的人。“——戴佛斯·席渥斯,,S04
20625,"史坦尼斯·拜拉席恩, 在绝境长城上的国王",,,,“金冠在头上冰冷而沉重，但只要我还是国王的一天，我就有职责……”,,2021
20626,"拜兰·法林, 国王的侍从",,,"效忠: **史坦尼斯·拜拉席恩**
*你的军队永远不能加入不同效忠对象的单位或附属。*",“乡绅们带着披肩、剑以及秘密。”,,2021
