Id,Translated Name,,,Requirement,Quote,,Version
20101,強襲堅兵,,,,,,2021
20102,衛士長,,,,,,2021-S01
20103,"桑鐸•克里岡, 鬣狗",,,,"""殺人是最甜蜜的事。""",,2021
20104,"泰溫•蘭尼斯特, 凱岩城公爵",,,,“萬事皆有器可善之，凡器皆有可善之事。”,,2021-S03
20105,"提利昂•蘭尼斯特, 半人",,,,"""他們是一群勇士，讓我們去拿下他們吧。""",,2021
20106,"巴利斯坦•賽爾彌, 御林鐵衛隊長",,,*不能加入有御林鐵衛單位的軍隊中。*,"""如今的七位御林鐵衛裡只有巴利斯坦•賽爾彌有真本領，然而賽爾彌也老矣。""-瓦里斯",,2021
20107,"詹姆•蘭尼斯特, 御林鐵衛",,,*不能加入有御林鐵衛單位的軍隊中。*,"""…...固然是個宣過誓的白騎士，但我們都知道他的誓言幾分斤兩。""-瓦里斯",,2021-S02
20108,"曼登•穆爾, 御林鐵衛",,,*不能加入有御林鐵衛單位的軍隊中。*,"""死神穿著白袍子。""-提利昂•蘭尼斯特",,2021
20109,"馬林•特蘭, 御林鐵衛",,,*不能加入有御林鐵衛單位的軍隊中。*,"""但曾經他們是奇蹟，是全世界最閃耀的戰士…...。""-布蘭•史塔克",,2021
20110,"亞歷斯•奧克赫特, 御林鐵衛",,,*不能加入有御林鐵衛單位的軍隊中。*,"""總有些人覺得說出誓言比遵守誓言來得容易。""",,2021
20111,"柏洛斯•布勞恩, 御林鐵衛",,,*不能加入有御林鐵衛單位的軍隊中。*,"""沒人敢在御林鐵衛前威脅國王陛下!""",,2021-S01
20112,"普列斯頓•格林菲爾, 御林鐵衛",,,*不能加入有御林鐵衛單位的軍隊中。*,"""誰什麼都聽，卻甚麼也聽不見?""
""御林鐵衛中的一員。""",,2021
20113,信仰勇士,,,,,,2021-S02
20114,"格雷果•克里岡, 泰溫的瘋狗",,,,"""的確誰也檔不住格雷果。""",,2021
20115,"詹姆•蘭尼斯特, 弒君者",,,,"""人們稱他為蘭尼斯特雄獅，卻又在背後竊竊私語""弒君者""這個名號。",,2021-S03
20116,"格雷果•克里岡, 魔山",,,,"""在這個王國中沒有其他騎士能夠在我們的敵人中激起如此恐懼。""",,S04
20117,"詹姆•蘭尼斯特, 小獅子",,,,"""沒人能像我，這世上只有一個我。""",,2021
20118,"格雷果•克里岡, 騎乘巨獸",,,,"""我發誓，這個畜生的頭顱是獻給全國百姓最好的禮物。""-布林登•徒利",,2021
20120,"提利昂•蘭尼斯特, 蘭尼斯特的巨人",,,,"""我認為它是我們之中的巨人，一個來到界盡頭的巨人。""-伊蒙學士",,2021-S03
20121,"喬佛里•拜拉席恩, 喬佛里一世",,,,"""那是我的兒子，艾德，我怎麼會養出這種兒子?""-勞勃•拜拉席恩",,2021-S02
20123,哨兵執法者,,,,,,2021-S03
20124,克里岡屠夫,,,,,,2021-S02
20125,"大麻雀, 總主教",,,,"""我們都成為什麼了?什麼時候國王和領主們得合著麻雀的嘰喳聲跳舞了?",,2021
20126,"科本, 禁忌教典",,,,"""學城可以剝奪我的項鍊，但無法剝奪我的知識。""",,2021
