Id,Name
SIF001,史塔克对阵兰尼斯特初始包
SIF001A,史塔克初始包
SIF001B,兰尼斯特初始包
SIF002,守夜人初始包
SIF003,自由民初始包
SIF005,波顿初始包
SIF006,坦格利安初始包
SIF007,马泰尔初始包
SIF008,拜拉席恩初始包
SIF009,葛雷乔伊初始包
SIF101,史塔克誓言剑士
SIF102,史塔克边境骑兵
SIF103,安柏狂战士
SIF104,安柏大斧手
SIF105,徒利誓言盾卫
SIF106,史塔克长弓手
SIF107,泽地人追踪者
SIF108,徒利骑士
SIF109,史塔克英雄1
SIF110,史塔克英雄2
SIF111,莫尔蒙母熊
SIF112,莫尔蒙壮士
SIF113,卡史塔克拥护者
SIF114,卡史塔克长矛手
SIF115,史塔克英雄3
SIF116,史塔克附属1
SIF117,泽地人沼泽恶魔
SIF118,安柏家族破坏者
SIF201,兰尼斯特护卫
SIF202,兰尼斯特长戟兵
SIF203,魔山部下
SIF204,火术士
SIF205,凯岩城骑士
SIF206,兰尼斯特弩手
SIF207,战士之子
SIF208,穷人集会
SIF209,兰尼斯特英雄1
SIF210,兰尼斯特英雄2
SIF211,兰尼斯特红袍子
SIF212,兰尼斯特港都城警卫队
SIF213,凯岩城荣誉护卫
SIF214,克里冈强盗
SIF215,兰尼斯特英雄3
SIF216,兰尼斯特附属1
SIF217,兰尼斯特金袍子
SIF301,誓言兄弟
SIF302,游骑兵追踪者
SIF303,守夜人老兵
SIF304,工匠弩手
SIF305,游骑兵猎人
SIF306,工匠蝎弩炮组
SIF307,工匠投石车
SIF308,新兵
SIF309,守夜人英雄1
SIF310,守夜人英雄2
SIF312,游骑兵先锋
SIF313,影子塔长矛手
SIF315,守夜人英雄3
SIF316,守夜人附属1
SIF401,自由民掠袭者
SIF402,易形者
SIF403,自由民布陷人
SIF404,瑟恩勇士
SIF405,矛妇
SIF406,巨人
SIF407,骸骨追随者
SIF408,穴居野蛮人
SIF409,自由民英雄1
SIF410,自由民英雄2
SIF411,冰封海岸战车
SIF412,战争猛犸
SIF413,冰封海岸猎人
SIF414,冰封海岸战熊骑手
SIF415,自由民英雄3
SIF416,自由民附属1
SIF417,六形人瓦拉米尔
SIF418,巨人投矛手
SIF501,波顿割喉者
SIF502,波顿混种母犬
SIF503,波顿无皮者
SIF504,波顿黑护卫
SIF505,中立英雄1
SIF506,波顿英雄1
SIF507,雇佣骑士
SIF508,血戏班散兵
SIF509,血戏班斑马骑手
SIF510,中立英雄2
SIF511,暴鸦团佣兵
SIF512,暴鸦团弓箭手
SIF513,暴鸦团刀舞者
SIF515,中立英雄3
SIF516,黄金团剑士
SIF517,黄金团弩手
SIF518,黄金团战象
SIF519,里斯雇佣兵
SIF521,石鸦部
SIF522,恐怖堡长矛手
SIF523,恐怖堡弓箭手
SIF601,多斯拉克尖啸者
SIF602,多斯拉克老兵
SIF603,多斯拉克边境骑兵
SIF604,多斯拉克赫拉卡
SIF605,被解放的奴隶
SIF606,无垢者长枪兵
SIF607,无垢者剑术大师
SIF608,龙之母
SIF609,坦格利安英雄1
SIF610,坦格利安英雄2
SIF611,兽面军
SIF612,地下斗士团
SIF615,坦格利安英雄3
SIF702,沙地散兵
SIF703,阳戟城刀舞者
SIF704,阳戟城皇家护卫
SIF705,沙丘毒蛇
SIF706,星坠城边境骑兵
SIF707,星坠城骑士
SIF708,暗黑之星追随者
SIF709,马泰尔英雄1
SIF710,马泰尔英雄2
SIF801,拜拉席恩守卫
SIF802,拜拉席恩哨兵
SIF803,雄鹿骑士
SIF804,雄鹿冠军
SIF805,王党
SIF806,后党
SIF807,拉赫洛光明使者
SIF808,拉赫洛信徒
SIF809,拜拉席恩英雄1
SIF810,拜拉席恩英雄2
SIF811,玫瑰骑士
SIF812,荆棘守卫
SIF813,高庭骑士
SIF814,高庭长矛手
SIF815,拜拉席恩英雄3
SIF816,拜拉席恩附属1
SIF817,拜拉席恩长戟兵
SIF820,拜拉席恩英雄4
SIF901,铁种掠夺者
SIF902,铁种长弓手
SIF903,艾枚克部下
SIF904,铁种布陷人
SIF905,哈尔洛家族收割者
SIF906,布莱克泰斯的选民
SIF907,淹人
SIF908,宁静号船员
SIF909,葛雷乔伊英雄1
SIF910,葛雷乔伊英雄2
SIF911,磐石海岸劫掠者
SIFKS001,国王之手
SIFKS019,信仰冠军
SIFKS021,恐怖堡队长
