Id,Translated Name,,,Requirement,Quote,,Version
30101,"泰温·兰尼斯特, 伟大的狮子",,,,“有些战斗是用剑和枪打赢的，还有一些用的是笔和乌鸦打赢的。”,,2021
30102,"派席尔, 大学士",,,,“派席尔是只癞蛤蟆。但兰尼斯特家的癞蛤蟆总比提利尔家的癞蛤蟆好，不是吗？”——提利昂·兰尼斯特,,S04
30103,"大麻雀, 教会之父",,,,“我鞭打自己的时候，是我自觉与诸神最接近的时候……”,,2021
30104,"提利昂·兰尼斯特, 小恶魔",,,,“我认为他比他看起来的要高大。”,,2021
30105,"瑟曦·兰尼斯特, 摄政王后",,,,“在权力的游戏之中，你不当赢家，就只有死路一条，没有中间地带。”,,2021
30106,"乔佛里·拜拉席恩, 七大王国统治者",,,,“哈，陛下他赢得爱戴的方式可真是独树一帜。”,,2021-S01
30107,"凯冯·兰尼斯特, 法务大臣",,,,“诸神把他塑造成追随者，并非领导人物。”——提利昂·兰尼斯特,,2021
30108,"科本, 情报总管",,,*不能编入包含瓦里斯的军队中。*,“我会替你保密。”,,S04
30109,"托曼·拜拉席恩, 继任者",,,,“等正式坐上王座，我会废除甜菜的。”,,S04
30201,"凯瑟琳·史塔克, 临冬城夫人",,,,“指引我该走的路，别让我在前方的黑暗中迷失方向。”,,2021
30202,"珊莎·史塔克, 小小鸟",,,,“猎狗说得没错……我是一只小小鸟，只会重复别人教我的话。”,,2021-S01
30204,"艾德·史塔克, 北境守护",,,,“史塔克，你把你的荣誉像盔甲一样穿在身上。”——培提尔·贝里席,,2021-S01
30205,"罗德利克·凯索, 退伍老兵",,,,“没有比罗德利克更好的教官了。”,,S04
30206,"艾莉亚·史塔克, 狼女",,,,“管他男的女的，你是一把剑，这样就够了。”——西利欧・佛瑞尔,,2021-S01
30207,"霍兰·黎德, 颈泽的保护者",,,,“他可以与树木交谈，编织文字，让城堡凭空出现和消失。”,,S04
30208,"艾德·史塔克, 国王之手",,,,“因为我这辈子很少遇见您这样的人。当我见到诚实和荣誉给您带来何种下场之后，我终于明白这是为什么了……”——瓦里斯,,2021-S03
30209,"莱安娜·莫尔蒙, 最小的母熊",,,,“熊岛不知道什么国王，只知道北境之王，名字叫史塔克。”,,2021
30210,"罗柏·史塔克, 北境之王",,,*不能编入包含艾德·史塔克的军队中。*,“我真的以为打仗最困难……”,,2021-S03
30301,"瓦迩女士, 野人公主",,,,“我比所有的黑衣游骑兵都更了解这片森林，它对我来说毫无鬼影。”,,2021-S03
30302,"曼斯·雷德, 狡猾的战术家",,,,“曼斯很狡猾。你知道，他是一只乌鸦养的，而乌鸦是一种狡猾的鸟。”,,S04
30303,"卡斯特, 便利的盟友",,,,“他虽然疯癫，却从不把我们游骑兵拒之门外，对曼斯·雷德更没好感。”,,S04
30304,"斯迪, 铁拳暴君",,,,“那些可是野人……与其说是人，不如说是野兽。”,,2021-S03
30305,"耶哥蕊特, 火吻",,,,“我懂，你打骨子里是个十足的野人。”——琼恩·雪诺,,2021
30306,"妲娜女士, 妻子和智囊",,,,“我们自由民知道你们这些下跪之人遗忘的事情。有时捷径并不安全，琼恩·雪诺。”,,S04
30307,"曼斯·雷德, 招摇撞骗的游吟诗人",,,,“长城能够阻止军队，却不能挡住独身的汉子。”,,2021-S03
30308,"琼恩·雪诺, 乌鸦变节者",,,,“曼斯·雷德也发过誓……”,,S04
30402,"培提尔·贝里席, 小指头",,,,“君临城内，只有两种人。要么当玩家，要么做棋子。”,,S04
30403,"瓦里斯, 八爪蜘蛛",,,,“瓦里斯有办法知道别人不可能知道的事。”,,S04
30404,大总管,,,,“他是这个世界历史的守护者。”,,2021
30405,"贾昆·赫加尔, 红神的追随者",,,,“红神是债主，可爱的女孩，惟有死亡方能换取生命。”,,2021-S03
