Id,Translated Name,,,Requirement,Quote,,Version
30101,"泰溫•蘭尼斯特, 雄獅",,,,“有些戰鬥是用利劍和長矛打贏的，也有一些靠的是毛筆和烏鴉。”,,2021
30102,"派席爾, 大學士",,,,“派席爾是隻癩蛤蟆。但蘭尼斯特家的癩蛤蟆總比提利爾家的癩蛤蟆好，不是嗎？”- 提利昂•蘭尼斯特,,S04
30103,"大麻雀, 信仰之父",,,,“鞭打自己的時候，是我感到與諸神最接近的時候…...”,,2021
30104,"提利昂•蘭尼斯特, 小惡魔",,,,“我認為他比看上去還要來得高大。”,,2021
30105,"瑟曦•蘭尼斯特, 攝政皇后",,,,“在權力的遊戲之中，不當赢家，就只有死路一條，沒有中間地帶。”,,2021
30106,"喬佛里•拜拉席恩, 七國之王",,,,"""陛下赢得愛戴的方式可真是獨樹一幟阿。""",,2021-S01
30107,"凱馮•蘭尼斯特, 法務大臣",,,,“諸神把他塑造成追隨者，而非一個領袖。” -提利昂•蘭尼斯特,,2021
30108,"科本, 情報總管",,,*不能夠加入有瓦里斯軍隊。*,“我會替你保密。”,,S04
30109,"托曼•拜拉席恩, 後繼者",,,,“等正式坐上王位後，我會廢除甜菜的。”,,S04
30201,"凱特琳•史塔克, 臨冬城夫人",,,,“指引我該走的路，别讓我在前方的黑暗中迷失方向。”,,2021
30202,"珊莎•史塔克, 小小鳥",,,,“鬣狗說的沒錯…我只是一隻小小鳥，重複著別人教我說的話。”,,2021-S01
30204,"艾德•史塔克, 北境守護",,,,“史塔克，你把榮譽像盔甲般的穿在身上。” -培提爾•貝里席,,2021-S01
30205,"羅德利克•凱索, 戰鬥老兵",,,,"“沒有比羅德利克更好的教官了。""",,S04
30206,"艾莉亞•史塔克, 小狼女",,,,“管他男的女的，你是一把劍，這樣就夠了。” -西利歐•佛瑞爾,,2021-S01
30207,"霍蘭•黎德, 頸澤的守護者",,,,“他可以與樹木交談，可以編織文字，也可以讓城堡憑空出現和消失。”,,S04
30208,"艾德•史塔克, 國王之手",,,,“當我見到誠實和榮譽给您帶來何種下場之後，我終於明白為什麼我這輩子很少遇見像您這樣的人了……”-瓦里斯,,2021-S03
30209,"萊安娜•莫爾蒙, 小熊女",,,,“熊島不知道什麼國王，只知道北境之王叫做史塔克。”,,2021
