Original Name,Translated Name,Translated Description,Version
"""Camp Followers""",“军营追随者”,每当本单位激活时，每剩余1排则遭受1点命中。,2021
"A Man Freed, A Name Owed",一个被释放的人，一个被欠下的名字,当贾昆被摧毁时，你的对手标记1个你的战斗单位为目标，该单位遭受3点伤害。其中的1点伤害可用于摧毁该单位的1个步兵附属。,2021
A Name Given,说个名字,"**影响***（每当本单位宣称1个区域时，附加本卡至1个战斗单位处直至该回合结束）*：
影响1个友方步兵单位期间，该友方单位的近战攻击获得**精准**。",2021-S03
A Rose and its Thorns,玫瑰与它的刺,每当玛格丽宣称1个区域，你可以标记1个友方战斗单位。该单位恢复1点伤害。然后你可以标记1个与该单位交战的敌方。该敌方获得**脆弱**。,2021
Abundant Promises,丰厚的承诺,"· **精准**
· 在1次近战攻击完成后，移除本单位上任意数量的劫掠标记。每移除1枚标记，本单位恢复2点伤害。",2021
Accute Precision,精准,本单位的攻击获得**精准**。,2021
Adaptive,适应性,当你组建军队时，减少附加到本单位的1个附属的1点招募点数费用。,2021
Advantage Strike,先发制人,当攻击在本回合中未激活的敌方时，本单位的近战攻击可以重投任意攻击骰。,2021
Aerial Scouting,空中侦察,每轮次限1次，当这个单位执行1个布阵或行军行动时，在结算该行动前，本模型的易形者所在的单位可以执行1次2英寸调整。,2021
Affiliation: Bloody Mummers,从属关系：血戏班,本单位是血戏班单位。,2021
Affiliation: Builder,从属关系：工匠,本单位是工匠单位。,2021
Affiliation: Crannogman,从属关系：泽地人,本单位是泽地人单位。,2021
Affiliation: Frozen Shore,从属关系：冰封冻土,本单位是冰封海岸单位。,2021
Affiliation: Golden Company,从属关系：黄金团,本单位为黄金团单位。,2021-S03
Affiliation: House Bolton,从属关系：波顿家族,本单位是波顿家族单位。,2021
Affiliation: House Clegane,从属关系：克里冈家族,本单位是克里冈家族单位。,2021
Affiliation: House Karstark,从属关系：卡史塔克家族,本单位是卡史塔克家族单位。,2021
Affiliation: House Mormont,从属关系：莫尔蒙家族,本单位是莫尔蒙家族单位。,2021
Affiliation: House Tully,从属关系：徒利家族,本单位是徒利家族单位。,2021
Affiliation: House Umber,从属关系：安柏家族,本单位是安柏家族单位。,2021
Affiliation: R'hllor,从属关系：拉赫洛,本单位是拉赫洛单位。,2021
Affiliation: Rangers,从属关系：游骑兵,本单位是游骑兵单位。,2021
Affiliation: Stormcrows,从属关系：暴鸦团,本单位是暴鸦团单位。,2021
Agile,敏捷,敌方攻击本单位时攻击骰投掷结果-1。,2021
Ambush,伏击,敌方被本单位成功冲锋在侧翼或后方时获得**恐慌**和**力竭**。,2021
Arrow Volley,弓箭齐射,"· 在判断视野范围时无视单位和地形。
· 如果防御者投掷防御骰结果出现1时，在本次攻击结束后，防御者获得 **力竭**。",2021-S03
Avenging The North,北境的复仇,"**影响***（每当本单位宣称1个区域时，附加本卡至1个战斗单位处直至该回合结束）：
影响1个友方单位期间，根据已被摧毁的友方单位数量，该单位获得下述效果（效果可以累计）：
**0+：**单位获得士气检测投掷结果+1。
**1+：**近战攻击获得**致命一击**。
**2+：**自动通过所有恐慌检测。
**3+：**可以重投任意攻击骰。",2021
Backing of The Iron Bank,铁金库的支持,每场游戏限定1次，在任意轮次开始时，任意数量的友方战斗单位恢复5点伤害*（总数）*。,2021-S01
Bardiche,月牙砍刀,· **凶残**,2021-S03
Battle Prayer,战斗祷词,"游戏开始时本单位拥有1枚**信仰标记**。每当本单位通过士气检测时，获得1枚信仰标记。信仰标记可用于以下用途：
· **当敌方对本单位执行攻击时，在防御骰投掷后：**
本单位格挡+1点命中，且每被摧毁1排则额外格挡+1点命中。
· **当本单位执行近战攻击时，在攻击骰投掷前：**
本次攻击获得**破甲**，并可以重投任意攻击骰。",2021
Battle Scars,战争伤疤,"每当本单位执行近战攻击，在攻击骰投掷前，选择1项。本单位每有1排已被摧毁，选择+1项：
· **凶残**
· 本单位可以重投任意攻击骰。
· 本单位投掷最高攻击骰数。",S04
Bear Cavalry,战熊骑手,"· 本单位的每个模型可以承受4点伤害。
· 本单位开始激活时，可以执行1次布阵行动。",2021
Berserker Axes,狂战士双斧,本单位每有1排已被摧毁则攻击骰投掷结果+1。,2021
Berserker's Fervor,狂战士狂热,本单位每有1排已被摧毁，则其防御骰投掷结果+1且士气检测投掷结果+1。,S04
Black Fire,漆黑龙焰,"· **凶残**
· 本次攻击造成的命中无法被格挡。如果本次攻击造成任意点命中，不投掷防御骰，防御者遭受D3点伤害，每剩余1排则遭受+1点伤害，且1个位于防御者短距离范围内的敌方获得**恐慌**。",2021-S01
Blade and Fang,刀刃与尖牙,· **凶残**,2021
Bloodrider,血盟卫,本单位无法获得**力竭**。,2021
Bloodriders' Arakh,血盟卫的亚拉克弯刀,"· **破甲**
· **凶残**",S04
Boisterous Charisma,喧闹的魅力,本单位永远不会成为敌方号令、战术卡或敌方NCU影响的目标。,2021
Boldness and Courage,胆识与勇气,每当本单位执行攻击时，若其满排，则攻击骰数量+1；否则，视为其排数+1。,2021
Bolt Thrower,弩炮,"· **凶残**
· 可从本单位托盘任意一点出发测量距离与视野。
· 可遭受攻击骰结果-3来无视视野限制并获得无限射程。
· 防御者不能投掷防御骰。
· 如果防御者为骑兵、怪兽或战争器械单位，本次攻击每点成功的命中视为2点命中。",2021-S03
Bonded Bear,建立联系-熊,"· 本单位可以承受1点伤害，且不提供胜利分数。
· 如果本单位被摧毁，则它不能再被其易形者选择。
· 如果本单位被选择，当与其建立联系的易形者所在的单位激活时，将其部署至1个与该单位交战的敌方的正面或侧翼。然后本单位执行1次近战攻击行动。回合结束时移除本单位。",2021
