Original Name,Translated Name,Translated Description,Version
"""Camp Followers""","""追隨者""",每當此單位啟動時，依據剩餘排數承受１點命中。,2021
"A Man Freed, A Name Owed",釋放一個人，欠下一個名字,當賈昆被殲滅時，你的對手可以標記你１個戰鬥單位。該單位承受３點傷害。其中的１點傷害，你可以改成殲滅該單位中的其中１個步兵附屬。,2021
A Name Given,給予的名字,"**影響力** *(每當此單位宣告戰術區域時，
將此卡附屬至1個戰鬥單位直至該回合結束)*: 
當影響友方步兵單位期間，該單位近戰攻擊獲得**精準**。",2021-S03
A Rose and its Thorns,玫瑰帶刺,"每當瑪格麗宣告戰術區域，
你可以標記１個友方戰鬥單位。

該單位回復１點傷害。

接著你可以標記１個與之接戰的敵方單位。
他們承受**脆弱**。",2021
Abundant Promises,豐厚的承諾,"•**精準**
•當完成近戰攻擊後，移除此單位任意枚劫掠標記。依據每個移除的標記，此單位回復2點傷害。",2021
Accute Precision,精準命中,此單位的攻擊獲得**精準**。,2021
Adaptive,適應性,組建軍隊時，減少此單位1個附屬的1點招募分數。,2021
Advantage Strike,優勢打擊,當攻擊此回合尚未啟動的敵方單位時，此單位的近戰攻擊可以重擲任意攻擊骰。,2021
Aerial Scouting,空中偵察,一局遊戲一次，每當此單位,2021
Affiliation: Bloody Mummers,隸屬：血戲班,此單位視作血戲班單位。,2021
Affiliation: Builder,隸屬：工匠,此單位視作工匠單位。,2021
Affiliation: Crannogman,隸屬：澤地人,此單位視作澤地人單位。,2021
Affiliation: Frozen Shore,隸屬：冰封海岸,此單位視作冰封海岸單位。,2021
Affiliation: Golden Company,隸屬：黃金團,此單位視作黃金團單位。,2021-S03
Affiliation: House Bolton,隸屬：波頓家族,此單位視作波頓家族單位。,2021
Affiliation: House Clegane,隸屬：克里岡家族,此單位視作克里岡家族單位。,2021
Affiliation: House Karstark,隸屬：卡史塔克家族,此單位視作卡史塔克家族單位。,2021
Affiliation: House Mormont,隸屬：莫爾蒙家族,此單位視作莫爾蒙家族單位。,2021
Affiliation: House Tully,隸屬：徒利家族,此單位視作徒利家族單位。,2021
Affiliation: House Umber,隸屬：安柏家族,此單位視作安柏家族單位。,2021
Affiliation: R'hllor,隸屬：拉赫洛,此單位視作拉赫洛單位。,2021
Affiliation: Rangers,隸屬：遊騎兵,此單位視作游騎兵單位。,2021
Affiliation: Stormcrows,隸屬：暴鴉團,此單位視作暴鴉團單位。,2021
Agile,靈敏,敵方攻擊此單位時承受命中結果-1。,2021
Ambush,伏擊,"受此單位成功衝鋒側翼或背後的敵方
單位承受**恐慌**及**力竭**。",2021
Arrow Volley,箭雨,•量測視野時忽略單位及地形。•若防守者的任何防守骰擲出點數1，此次攻擊完成後，他們承受**力竭**。,2021-S03
Avenging The North,北境的復仇,"**影響力***(每當此單位宣告戰術區域時，
將此卡附屬至1個戰鬥單位直至該回合結束)* :
當影響友方單位期間，依據被殲滅的友方單位數量獲得下數能力*(效果可以累加)*:
**0+**:單位獲得士氣檢測投擲結果+1。
**1+**:近戰攻擊獲得 **致命一擊**。
**2+**:自動通過恐慌檢測。
**3+**:可以重擲任意攻擊骰。",2021
Backing of The Iron Bank,鐵金庫的金援,一局遊戲一次，任意輪次開始時，你可回復5點傷害*(總共)*分配給任意數量的友方戰鬥單位。,2021-S01
Bardiche,月牙砍刀,• **兇狠**,2021-S03
Battle Prayer,戰鬥祝禱,"此單位遊戲開始時有1枚**信仰標記**。每當此單位通過士氣檢測，獲得1枚信仰標記。可以消費信仰標記來獲得下述效果:
**• 當敵方對此單位執行攻擊時，防禦骰投擲後:**
此單位格擋+1命中，依據自身已折損排數額外格擋+1命中。
**• 當此單位執行近戰攻擊時，攻擊骰投擲前:**
此次攻擊獲得**破甲**，且可以重擲任意攻擊骰。",2021
Battle Scars,戰鬥傷疤,"每當此單位執行近戰攻擊，攻擊擲骰前，選擇1項。
依據已被殲滅排數+1項:
•**兇狠**
•此單位可以重擲任意攻擊骰。
•此單位以最高骰數進行攻擊",S04
Bear Cavalry,熊騎兵,"• 此單位的每個模型可以承受４點傷害。
• 此單位的啟動開始前可以執行１次佈陣行動。",2021
