Id,Name,Text,Back,Version
50101,拜拉席恩旗帜,"御林铁卫初始拥有4枚拜拉席恩旗帜。在他们的激活开始时,可以移除拜拉席恩旗帜来获得下述效果。每个效果在每个激活中只能使用1次。
· 本轮次中，本单位的近战攻击获得**致命一击**和**破甲**。
· 本轮次中，本单位的近战攻击获得**凶残**且如果防御者未通过恐慌检测，他们遭受+1点伤害。
· 本轮次中，当本单位执行攻击，在投掷攻击骰前，防御者获得 **恐慌**和**力竭**。
· 本单位恢复2点伤害且本轮次可以重投冲锋距离和撤退距离骰。",,2021
50201,泽地毒药,"[SKILL:Venom]

每当本单位执行1次行动，在该行动结算前，本单位遭受1点伤害，且每有1枚状态标记则+1点伤害。

如果本单位即将移除1枚状态标记，你可以移除本卡而非该标记。","毒药;“真汉子从不用毒药杀人。只有懦夫、女人和多恩人才用毒。”;维克塔利昂·葛雷乔伊;
游戏开始时，放置本卡至你的战术卡组旁。;一个能力或效果将会说明何时该打出这张卡。",2021
50301,巨人们的首领,"**你可以选择强壮的玛格作为你的指挥官**
<i>（但仍必须支付他的费用）。</i>

当你选择强壮的玛格作为指挥官时，
使用玛格的卡组取代自由民基础卡组。",,2021-S02
50302,六形人瓦拉米尔,"你可以选择六形人瓦拉米尔作为你的指挥官。如果这么做，将他的招募分值减至2。

当你选择瓦拉米尔作为指挥官时，你的军队**必须**包含影子山猫和狼群。","六形人瓦拉米尔;易形者大师;
“恶毒的小矮子。”- 巨人克星托蒙德;
联动指令
联动守护
召唤同伴",2021
50601,拜拉席恩旗帜,"彩虹护卫初始拥有4枚拜拉席恩旗帜。在他们的激活开始时,可以移除拜拉席恩旗帜来获得下述效果。每个效果在每个激活中只能使用1次。
· 本轮次中，本单位的近战攻击获得**致命一击**和**破甲**。
· 本轮次中，本单位的近战攻击获得**凶残**且如果防御者未通过恐慌检测，他们遭受+1点伤害。
· 本轮次中，当本单位执行攻击，在投掷攻击骰前，防御者获得 **恐慌**和**力竭**。
· 本单位恢复2点伤害且本轮次可以重投冲锋距离和撤退距离骰。",,2021
50701,不朽之殿,"游戏中只能存在1个不朽之殿。
你的对手必须从手牌中随机弃置1张战术卡。","若你的军队包含俳雅·菩厉, 魁尔斯男巫，那么在游戏开始前，在战术版的边上放置不朽神殿战术区域卡。无论出于何种目的，它都是一个额外的战术区域。",2021-S03
50801,铁群岛的掠夺者,"[SKILL:Pillage]

每当1个葛雷乔伊单位使用近战攻击摧毁敌方1排时，在本次攻击完成后，该单位获得1枚劫掠标记。1个单位至多拥有2枚劫掠标记。
根据劫掠标记数量，该单位获得下述效果*（效果可以累加）*：
• 1+：士气投掷结果+1。
• 2：攻击骰数量+1。",,2021-S03
50900,流水花园,"<b>游戏中只能存在一个流水花园。你控制本区域期间，对手不视为控制战术区域，战术卡和能力不享受控制战术区域的效果。</b>
在你对手的下个轮次里，如果可以，他们必须激活一个战斗单位。",若你的军队包含多恩亲王道朗·马泰尔，那么在游戏开始前，在战术版的边上放置流水花园战术区域卡。无论出于何种目的，它都是一个额外的战术区域。,2021
50901,阳戟城领主,你可以选择**阳戟城领主道朗 ·马泰尔**作为你的指挥官 <i>( 你仍须支付他的招募点数 ) 。</i>如果你这么做，你的军队必须包含亲卫队长阿利欧·何塔。所有游戏中，他被视为你在战场上的指挥官。,,2021
50902,蝎尾兽毒,"[SKILL:Venom]

本单位无法恢复伤害。

如果本单位已经拥有**脆弱**标记且即将获得 **脆弱**标记时，替代获取标记，本单位遭受1点伤害。

每当本单位激活时，获得 **脆弱**。","毒药;“真汉子从不用毒药杀人。只有懦夫、女人和多恩人才用毒。”;维克塔利昂·葛雷乔伊;
游戏开始时，放置本卡至你的战术卡组旁。;一个能力或效果将会说明何时该打出这张卡。",2021
50903,扼杀者,"[SKILL:Venom]

每回合结束时，放置1枚号令标记在本卡上。

如果本卡拥有2枚号令标记，摧毁被本卡附加的单位。","毒药;“真汉子从不用毒药杀人。只有懦夫、女人和多恩人才用毒。”;维克塔利昂·葛雷乔伊;
游戏开始时，放置本卡至你的战术卡组旁。;一个能力或效果将会说明何时该打出这张卡。",2021
