Id,Deck,Name,Text,Version
40101,蘭尼斯特核心卡組,陰謀詭計,"**當敵方ＮＣＵ啟動時:**
 
該ＮＣＵ失去所有能力，
直至此回合結束。 
 
若你控制[MONEY]，
標記１個敵方戰鬥單位，
該敵方單位承受**力竭**。",2021
40102,蘭尼斯特核心卡組,蘭尼斯特有債必償,"**任意輪次開始時：**
 
標記１個友方戰鬥單位，並將此卡附屬在該單位上，直至此局遊戲結束。 
當１個友方步兵或騎兵單位被殲滅時，將１個號令標記放置於此卡上。 
 
當此卡擁有１枚標記時，
此卡附屬的單位近戰攻擊獲得**兇狠**，
若你控制[CROWN]，
同時獲得命中結果＋１。",2021
40103,蘭尼斯特核心卡組,聽我怒吼!,"**當敵方單位執行士氣檢測時，
擲骰前：**
 
該敵方單位承受擲骰結果－１，並依據已被殲滅的排數還要額外－１。
 
若失敗，
則該單位承受１點傷害。
*(若是恐慌檢測失敗，則是承受+1點傷害)*",2021
40104,蘭尼斯特核心卡組,賄賂,"**當友方NCU宣告戰術區域時:**

將該戰術區域效果替換成: 

*標記１個敵方戰鬥單位，並將此卡附屬在該單位上，直至該單位通過士氣檢測，或是該單位被作為[MONEY]的目標。*

附屬期間，該單位的近戰攻擊總是投擲最低骰數，並承受士氣檢測投擲結果-1。",2021-S03
40105,蘭尼斯特核心卡組,戰術反擊,"**當對手使用戰術卡時，結算該戰術卡前:**

投擲１Ｄ６骰，若為３＋，則取消該戰術卡。

若你控制[CROWN]或[LETTER]，擲出2＋，即可取消該戰術卡。

若你控制2者，視作直接成功取消。",2021-S03
40106,蘭尼斯特核心卡組,效忠王權,"**當敵方單位恐慌檢測失敗時:**

標記該單位長距離內的１個友方單位。

依據該敵方單位在此次檢測中承受的每1點傷害，友方單位則回復1點傷害，至多３點。

若你控制[CROWN]，對該敵人造成+1點傷害，並對友方單位回復＋１點傷害。*(總共至多回復４點傷害) *",2021-S03
40107,蘭尼斯特核心卡組,強權征服,"**當敵方戰鬥單位啟動時:**

該敵方單位執行１次士氣檢測。依據每個你控制的[CROWN]和[MONEY]，該單位的承受擲骰結果-1。

若失敗，該單位無法成為友方的戰術卡目標，同時失去所有能力直至該輪次結束。",2021-S03
40108,詹姆•蘭尼斯特，弒君者,弒君者的威名,"**當詹姆•蘭尼斯特長距離範圍內的友方單位執行士氣檢測時，擲骰後：**

該單位通過該次檢測。若是詹姆•蘭尼斯特的單位，還會回復2點傷害。 /
**任意輪次開始時：**

抽取１張戰術卡。",2021-S03
40109,詹姆•蘭尼斯特，弒君者,弒君者的戰技,"**當詹姆•蘭尼斯特的單位執行近戰攻時，攻擊骰投擲前:**
 
該次攻擊可以用最高骰數進行攻擊，且可以重擲任意未命中，
同時防守者承受**脆弱**。 /

**任意輪次開始時：**

抽取１張戰術卡。",2021
40110,詹姆•蘭尼斯特，弒君者,弒君者的罵名,"**當詹姆•蘭尼斯特長距離範圍內的敵方單位啟動時:**

該敵方單位承受**恐慌**，並執行1次恐慌檢測。若失敗，他們還會承受**力竭**。 /
**任意輪次開始時：**

抽取１張戰術卡。",2021-S03
40111,格雷果•克里岡，魔山,橫行無阻,"**當友方單位高歌猛進時：**

該單位可以改為執行1次衝鋒或行軍行動。

若標記的是克里岡家族的單位，該單位可以重擲任意衝鋒距離骰。",S04
40112,格雷果•克里岡，魔山,強襲號令,"**當友方ＮＣＵ宣告戰術區域時：**

將該戰術區域效果替換成：

*１個友方戰鬥單位執行１次近戰攻擊行動。*

*若標記的是克里岡家族的單位，*
*該戰鬥單位可以改為執行*
*１次衝鋒行動。*",2021
40113,格雷果•克里岡，魔山,失敗的代價,"**當友方單位執行近戰攻擊時，攻擊骰投擲前:**

此次攻擊的所有攻擊骰投擲結果皆視為命中。

此次攻擊結束後，若防守者沒有被殲滅，攻擊者承受**恐慌**和**脆弱**。",2021-S03
40114,泰溫•蘭尼斯特，凱岩城公爵,弱點打擊,"**當友方單位執行攻擊，攻擊骰投擲前：**

防守者承受**脆弱**。

若防守者有**力竭**狀態標記，攻擊者還可以重擲任意攻擊骰。",2021-S03
40115,泰溫•蘭尼斯特，凱岩城公爵,意志薄弱,"**當敵方單位士氣檢測失敗時：**

該單位承受**力竭**。

將此卡附屬至該單位直至他們通過士氣檢測。

此卡附屬期間，每當該單位啟動，他們承受**力竭**。",2021-S03
40116,泰溫•蘭尼斯特，凱岩城公爵,發號施令,"**當你的指揮官單位啟動時：**
 
該單位此輪次不能執行行動。
標記長距離範圍內的另１個友方單位。
該單位執行１次攻擊或衝鋒行動。/

**任意輪次開始時：**

標記1個友方戰鬥單位。
從該單位上移除１枚號令標記。
該單位可以於此回合中再次使用該號令。",2021
40117,提利昂•蘭尼斯特，半人,錯誤議程,"**當敵方ＮＣＵ啟動時：**

若該ＮＣＵ此輪次有宣告戰術區域，
結算完戰術區域效果後，
你可以該ＮＣＵ移動至其他
未被宣告的戰術區域。

若你將該ＮＣＵ從[LETTER]移開，
標記１個敵方戰鬥單位。
該單位獲得１枚狀態標記。",2021
40118,提利昂•蘭尼斯特，半人,狡猾計策,"**當友方戰鬥單位啟動時：**

此單位此輪次不能執行任何行動。此外，標記另1個友方戰鬥單位。他們可以執行１次佈陣、行軍，或是撤退行動。

若其中一個單位是提利昂的單位，提利昂單位長距離範圍內的１個敵方單位承受**脆弱**。",2021-S03
40119,提利昂•蘭尼斯特，半人,阻截號令,"**當你的對手標記１個單位作為戰術區域的對象時：**

投擲１Ｄ６骰。若為３＋，則你的對手必須指定另一個不同的單位*（若情況允許）*。

若你控制[LETTER]，你可以重擲骰子。若新標記的單位在提利昂單位的長距離範圍內，他們承受1枚狀態標記。",2021-S03
40120,大麻雀，總主教,母親的慈悲,"**當友方戰鬥單位啟動時：**
 
該單位執行１次士氣檢測。

若成功，該單位回復２點傷害，
依據已被殲滅的排數
回復＋１點傷害。

若失敗，
該單位回復１點傷害。",2021
40121,大麻雀，總主教,父親的守護,"**當敵方單位執行近戰攻擊，防禦骰投擲後：**
 
防守者執行1次士氣檢測。
若成功，
該單位可以重擲防禦骰。

若失敗，
該單位格擋+1點命中。",2021
40122,大麻雀，總主教,戰士的憤怒,"**當友方單位執行近戰攻擊，攻擊骰投擲前：**
 
該單位執行１次士氣檢測。
若成功，該次攻擊獲得
命中結果＋１和**破甲**。

若失敗，
該次攻擊造成＋１點命中。",2021
40123,喬佛里•拜拉席恩，喬佛里一世,你們會服從我!,"**當友方單位執行近戰攻擊，攻擊骰投擲前：**

 該次攻擊獲得＋２攻擊骰和**破甲**。

若該次攻擊每個沒有殲滅防守者至少1排，攻擊者會承受**恐慌**和**脆弱**。",2021-S03
40124,喬佛里•拜拉席恩，喬佛里一世,叛徒!看我摘了他們的腦袋!,"**友方輪次開始時：**

標記１個敵方戰鬥單位，並將此卡附屬在該單位上。

此卡附屬期間，對該敵方單位近戰攻擊時獲得**兇狠**。

該回合結束時，若該敵方單位沒有被殲滅，將此卡移除，同時攻擊過該單位的其他單位都會承受**恐慌**與**脆弱**。",2021-S03
