Id,Translated Name,Attack 1,Attack 2,Requirement,Quote,Lore,Version
10101,兰尼斯特护卫,长剑,,,,全世界都知道兰尼斯特有钱——哪怕从他们最基层的步兵身上也不难发现这点。受益于坚固的盔甲和厚重的金属盾牌及随之而来的安全感，兰尼斯特的普通军队就拥有着战场上的优势，这让他们看上去战无不胜。事实证明，兰尼斯特家族的大多数敌人都无法在如此固若金汤的战线上取得任何进展。,2021
10102,兰尼斯特长戟兵,长戟,,,,兰尼斯特家族的长戟兵虽然能够主动发起进攻，但在防守阵型和阵地战上表现更为出色。冲锋的敌人在面对牢不可破的长戟阵之前理应三思。话虽如此，指挥官也应该小心保护戟兵的侧翼，提防侧击和远程火力的攻击。但如果使用得当，没有什么能越过戟兵的致命锋线。,2021-S02
10103,克里冈家族魔山部下,强盗之刃,,,,狂暴、野蛮、无情和凶残，魔山部下刷新着人们对于战争艺术下限的认知。他们不留任何活口，逃跑的人会被砍倒，投降的人则会被处死。魔山部下擅长打击已经深陷重围的敌军，进一步粉碎他们的战斗意志。一个合格的指挥官必须切记，不可让这些无情的人过分放纵。,2021-S03
10104,火术士,野火,野火,,,炼金术士公会的火术士使用兰尼斯特家族最可怕、最具毁灭性的武器：野火。野火被称为“物质”，是一种具有显著破坏潜力的绿色液体。它的不稳定性使得运输和使用这种物质本身就有极高风险——高风险自然也有着高回报——没有任何一个凡人单位能承受它的攻击。即使是最厚的盔甲也抵挡不住它那无情舔舐的火舌。,2021-S03
10105,凯岩城骑士,骑枪,,,,凯岩城骑士甲胄奢侈，武备精良，训练有素，为雄狮军团提供了无与伦比的速度和杀伤力。很少有敌方能够承受这些重甲巨兽的冲锋，而与他们的速度相匹配的敌人也更少。虽然他们能够与意志坚定的步兵缠斗，但很少有指挥官会让他们长时间陷入肉搏战的困境。,2021-S01
10106,兰尼斯特弩手,弩,短剑,,,相比起那些装备传统弓箭的对手，在训练方面，弩手的要求要低得多。然而，弩本身的制造和维护成本更高，特别是在旷日持久的战争中。只需极少的练习，弩手就能在猛烈的冲锋下准确射击并击穿厚重的装甲。虽然兰尼斯特的指挥官不会让弩手靠近近战的前线，但必要时他们也会这么做！,2021-S01
10107,"格雷果·克里冈, 骑马的魔山",顺劈重斩,,,*“怎么能指望和这样的野兽厮杀呢？”*,格雷果·克里冈爵士真是高人一等。如此魁梧的人自然需要和他体型相配的坐骑，然而最大的骏马在“骑马的魔山”身下看起来也不过是匹矮马。在魔山的指挥下，部队如雪崩般发起冲击，沿途留下他们破坏的痕迹。魔山是一个绝对无情的对手，一个真正的由肌肉和钢铁铸就的武器。,2021
10108,战士之子,赐福之刃,,,,无论是贵族出身还是被封为贵族，战士之子都有着骑士的背景，并将他们的专长奉献给七神。战士之子手持赐福的刀刃，身披厚重的铠甲，坚定的信念使他们坚不可摧，以此坚守或夺下任何目标。哪怕情况看起来再怎么绝望，陷于恶战的战士之子们也将致力于尽善尽美。,2021
10109,穷人集会,大头棒,,,,在战场上，只有愚蠢的指挥官才会忽视这些“穷人集会”。虽然他们不着片甲，用的也只是临时拼凑或捡来的武器，但庞大的人数和对七神不可动摇的信仰让他们拥有足以击溃那些不虔诚的人的力量。无论是坚守阵线还是进攻突围，穷人集会的信念每每会帮助他们度过难关!,2021-S01
10110,御林铁卫,大师锻造的刀刃,,*只能编入包含“乔佛里·拜拉席恩，乔佛里一世”的军队中。你的军队不可以包含詹姆·兰尼斯特。乔佛里必须附加至本单位。*,,作为一个单位，御林铁卫是五王之战中武器最锋利、盔甲最精良、经验最丰富的部队。然而当他们被包围时，也会像其他重步兵一样陷入苦战，而且他们还有一个额外的不稳定因素：乔佛里·拜拉席恩国王。尽管如此，虽然只有七个人，御林铁卫却总是能与三倍于自己的敌人交战。,S04
10111,红袍子,长剑,,,,被称为兰尼斯特红袍子的精锐禁卫是兰尼斯特家族在君临城和凯岩城的执法力量。他们的工作是通过恐吓、威胁和锋利的刀刃来控制民众。他们引人注目的不仅是深红色的斗篷，还有他们的半身板甲——这些半身板甲可是做到了量产铠甲品质的极限。他们是坚固的中型步兵，也是兰尼斯特军中收入最高的部队之一。,2021-S01
10112,克里冈家族强盗,凶残武器,,,,虽然大多数骑兵的进攻都够凶狠，但格雷果·克里冈手下的强盗却有着相较之下更为异常的残暴。仅仅从侧翼或后方粉碎敌人的队伍可不会让他们感到满足。对于克里冈强盗这样的人来说，一件能把敌人打成残废的武器和一件能迅速有效地杀人的武器同样必要。然而，尽管有着可怕的名声，强盗们却很少渴望公平的战斗。,2021-S02
10113,兰尼斯特港都城警卫队,长矛,,,,作为兰尼斯特家族权力中心的守护者，兰尼斯港都城守备队的武装和盔甲与五王之战中的许多前线部队一样好（但不至于更好）。也就是说，他们不是正规的士兵，不应依靠他们来抵抗先锋或对抗骑兵的冲锋。然而，当他们以盛凌寡并得到适当支持时，他们仍然是有效和危险的，是一支真正优秀的支持部队。,S04
10114,凯岩城荣誉护卫,兰尼斯特的压迫,,,,巨大的城堡凯岩城既是兰尼斯特至高无上的象征，也是俯瞰兰尼斯港牢不可破的堡垒。因此，它的守护者，著名的凯岩城荣誉护卫，也成了兰尼斯特坚不可摧的力量的象征。荣誉守卫装备着用金钱能买到的最好的板甲，并被训练成一支强大的治安部队。他们可以坚守阵线，也可以在敌人暴露自己时有效利用他们的弱点。,2021-S03
10115,金袍子,棍棒,,,,君临城通常被认为是一个安全的地方，因为不管在哪都能看到金袍子在大街小巷里巡逻。他们随时准备，以确保正义能得到伸张。至于说到底是谁的正义---想想兰尼斯特家族统治着君临，而金袍子则向铁王座卑躬屈膝。背地里说国王坏话的人哟，后果自负哦。,2021
10116,石鸦部,拾捡的武器,,只能编入包含提利昂·兰尼斯特的军队。提利昂·兰尼斯特附加至本单位成本为0。,,作为高山氏部落和掠袭者，提利昂·兰尼斯特的石鸦部显得相当普通——除了他们出人意料的忠诚。虽然他们的承诺更多是为了提利昂的钱而非提利昂本人，以至于背叛可能是一个更为有利可图的选择，但事实却证明了他们是信守诺言的。作为雇佣兵，这些部队如果被恰当地用作侦察兵和侧翼力量，就能值回票价。他们的轻型武器和护甲使他们不适合在前线作战。,2021
10201,史塔克誓言剑士,凛冬的撕咬,,,,誓言剑士是史塔克家族指挥官制定战略的基石。勇敢、能干、绝对忠于冰原狼的旗帜，誓言剑士宁愿战死，也不愿在战斗中抛弃他们的兄弟。虽然这些人的武器和盔甲可能不像富裕的家族那么优良，但他们深知真正的勇气不是用金子买来的。,2021-S01
10202,史塔克边境骑兵,边境骑兵之刃,,,,虽然并非为肉搏战而生，但史塔克家族的边境骑兵从不觉得他们是累赘。轻甲的骑手和以速度与镇静的脾性为标准而选练的无甲战马，最终塑就了他们不受约束的机动性的标志。虽然他们有着轻甲单位难以抵御箭矢攻击的通性弱点，但他们也是弓箭手的天敌，可以轻松接近并击碎无防护的射手阵线。,S04
10203,安柏家族狂战士,狂战士双斧,,,,狂战士擅长侧翼游走、粉碎冲锋以及全面追击溃败的敌人。一个明智的指挥官必须注意不要让他们如此穷追不舍以至于太过深入敌营。然而，作为老兵，狂战士可能沉迷于嗜血，却很少发现自己因此而受到反噬。让他们的敌人尝尝只有北境人才能带来的冰锋和盛怒！,S04
10204,灰风,尖牙与利爪,,*只能编入包含“罗柏·史塔克”的军队中。*,,普通的狼可能很可怕，而被称为灰风的冰原狼绝对是令人毛骨悚然的。在战场上，灰风的速度比任何步兵都快，也几乎和任何骑兵一样迅捷，它仅凭直觉就能指引自己到达最需要的地方。尽管它的单兵作战能力令人印象深刻，他制造的恐慌还是能带来更大的战术价值。,2021
