Id,Translated Name,Attack 1,Attack 2,Requirement,Quote,Lore,Version
10101,蘭尼斯特衛士,軍用長劍,,,,,2021
10102,蘭尼斯特戟兵,軍用戰戟,,,,,2021-S02
10103,克里岡家族魔山的部下,掠奪者利刃,,,,,2021-S03
10104,火術士,野火,野火,,,,2021-S03
10105,凱岩城騎士,騎槍,,,,凱岩城騎士武器精良、盔甲精良，且訓練有素，為雄獅軍團提供了無與倫比的速度和殺傷力。很少有敵人可以承受這些重裝巨獸的衝鋒，同時能與之速度相匹配的敵人也更少。儘管他們可以在近戰中與堅實的步兵進行對抗，但很少有指揮官會讓他們長時間陷入肉搏戰的困境。,2021-S01
10106,蘭尼斯特弩兵,十字弩,護身短劍,,,,2021-S01
10107,"格雷果˙克里岡, 騎乘的魔山",劈裂斬擊,,,"*""如何指望與這樣的野獸戰鬥呢?""*",,2021
10108,戰士之子,受膏之劍,,,,,2021
10109,窮人集會,棍棒,,,,,2021-S01
10110,御林鐵衛,精工利刃,,*只能加入包含喬佛里˙拜拉席恩，喬佛里一世的軍隊中。你的軍隊中不能包含詹姆˙蘭尼斯特。喬佛里必須附屬在此單位中。*,,,S04
10111,紅袍武士,軍用長劍,,,,,2021-S01
10112,克里岡家族強盜,暴虐軍械,,,,,2021-S02
10113,蘭尼斯港城衛,軍用長矛,,,,,S04
10114,凱岩榮譽護衛,蘭尼斯特威壓,,,,,2021-S03
10115,金袍子,棍棒,,,,君臨城通常被認為是一個安全的居住地，因為不管在哪都能夠看到金袍子在大街小巷裡巡邏。他們隨時準備好來伸張正義。至於到底為何種正義，試想蘭尼斯特統治著君臨城，而金袍子效忠於鐵王座。說國王壞話的人，後果自負。,2021
10116,石鴉部落戰士,撿拾來的武器,,*只能加入包含提利昂˙蘭尼斯特的軍隊中。他可以不需要組軍花費附屬在此單位中。*,,,2021
10201,史塔克誓言劍士,凜冬猛噬,,,,,2021-S01
10202,史塔克邊境騎兵,邊境之刃,,,,,S04
10203,安柏家族狂戰士,狂戰士戰斧,,,,,S04
10204,灰風,尖牙利爪,,*只能加入包含羅柏˙史塔克的軍隊中。*,,,2021
10205,史塔克長弓兵,箭雨,護身短劍,,,,2021-S03
10206,徒利家族誓言盾牌軍,軍用長劍,,,,,2021
10207,夏天,尖牙利爪,,*只能加入包含布蘭˙史塔克的軍隊中。*,,,2021
10208,安柏家族大斧手,行刑者怒火,,,,,S04
10209,澤地人追蹤者,澤地之弓,追蹤者利刃,,,澤地人追蹤者向來都不是所謂的前線部隊。輕型裝備的追蹤者在正式的交戰中幾乎沒有勝算。儘管追蹤者缺乏直接的傷害手段，但他們透過速度和能力來擾亂和迷惑敵方的陣型補足了這點，同時他們還將速度與機動性透過致命的游擊戰術結合起來來避免正面交鋒。,2021-S03
10210,毛毛狗,野性撕咬,,角色:*只能加入包含瑞肯˙史塔克的軍隊中。*,,,2021-S03
10212,艾德的榮譽護衛,凜冬猛噬,,角色:*只能加入包含艾德˙史塔克，臨冬城公爵的軍隊中。艾德必須附屬在此單位中。*,,,2021-S03
10213,徒利家族重裝騎兵,騎槍,,,,,2021-S03
10214,莫爾蒙家族母熊,剛毅打擊,,,,,S04
10215,卡史塔克家族長矛兵,軍用長矛,,,,,S04
10216,莫爾蒙家族鬥士,釘頭槌與尖刺,,,,,S04
10217,卡史塔克家族忠誠軍,軍用鏈枷,,,,,S04
10218,澤地人沼澤惡魔,劇毒三叉戟,,,,,2021
10219,安柏家族破壞者,處刑者戰斧,,,,,2021
10301,野蠻巨人,狂怒揮擊,,,,,2021-S01
10302,自由民獵手,野人弓,粗製武器,,,,2021-S01
10303,自由民掠奪者,粗製武器,,適應性：*減少此單位1個附屬的1點招募分數。*,,,2021-S03
10304,矛婦,擲矛,長矛,,,,S04
10305,穴居野人,狂亂揮擊,,,,,2021-S02
10306,旺旺,暴拳亂擊,,,,,2021-S02
10307,駭骨追隨者,鋸齒武器,,,,,2021-S03
10308,瑟恩戰士,青銅武器,,,,瑟恩戰士是自由民中常規的重裝部隊。他們的青銅武器和盔甲都是由自己親手打造，而不是從守夜人偷來或是從戰場上搶奪來的。這些相對先進的北方人武器並無法與南方的精鋼兵器相抗衡，自由民的指揮官們必須牢記這一點。然而，瑟恩戰士在任何自由民的軍隊中都擅長堅守中間戰線的位置。,2021-S03
10309,冰封海岸冰犬戰車,絕死衝擊,,,,,2021-S02
10310,熊,野性撕咬,,*此模型僅適用於易形者締結技能。*,,,2021
10311,駭骨之王的精銳,鋸齒武器,,角色:*只能加入包含響骨衣的軍隊中。他必須附屬在此單位中。*,,,2021-S03
10312,猛瑪戰象,橫衝直撞,,限制:*你的軍隊至多只能包含2隊猛瑪戰象。*,,,2021-S01
10313,強壯的瑪格,酋長怒火,,,,,2021-S02
10314,強壯的瑪格,酋長怒火,,,,,2021
10315,冰封海岸白熊騎兵,擲矛,長矛與撕咬,,,,S04
10316,波羅區的野豬,頂傷與餵食,,*只能加入包含波羅區的軍隊中。*,,,S04
10317,"六形人瓦拉米爾, 異形者大師",兇猛撕咬,,,"*""我能飛到長城之上，用鷹眼查看。""*",,2021-S03
10318,"六形人瓦拉米爾, 異形者大師",兇猛撕咬,,,"*""我能飛到長城之上，用鷹眼查看。""*",,S04
10319,影子山貓,爪擊,,*只能加入包含六形人瓦拉米爾的軍隊中。*,,,2021
10320,狼群,圍獵戰術,,*只能加入包含六形人瓦拉米爾的軍隊中。*,,,2021
10321,冰封海岸獵人,魚叉,魚叉,,,海象氏族擅長在絕境長城外遙遠的北方荒原中狩獵。現在，他們帶著自己的專業技能與自由民們一起向南尋找更加溫暖的氣候和更翠綠的牧場。他們沉重的魚叉非常適合刺穿兇猛的野獸和敵方士兵。他們掌握獵物的知識促使他們能夠靈活的維持戰線，並在不斷的佈陣中從意想不到的角度攻擊敵人的陣型。,S04
10322,巨人擲矛手,巨人之矛,巨人之矛,,,,S04
10401,波頓家族割喉者,無情肆虐,,,,雖然只有簡單的護甲和輕型裝備，但波頓割喉者沉浸在殘暴與冷酷的惡名當中，使他們即便不使用更為精良的武器也可以有效的對敵人造成恐慌。他們的尖刺狼牙棒能夠輕而易舉的消滅敵人，但更重要的是透過他們的殘暴帶給敵人更多的恐懼。波頓割喉者會玩弄倒下的敵人，或者對敵人來說更糟糕的是，把他們囚禁起來承受更多更痛苦的命運。,2021-S01
10402,波頓家族野種母犬,追獵者之弓,尖牙與利刃,,,訓練有素的野種母犬善於追獵，最適合作為側翼或是追擊逃跑的敵人，甚至連重裝步兵都可以擊敗。雖然他們沒有可以承受重擊的護甲，但遭受馴犬師箭傷的敵人卻很容易成為他們的獵物。他們期待的是在捕獵到敵方指揮官後，拉姆斯˙波頓開始他戰後娛樂的那筆豐厚報酬。,2021
10403,波頓家族剝皮鐵騎,戰爭鏈枷,,,,"在五王之戰中，波頓的剝皮鐵騎是最強大的重裝騎兵之一，即便是
 最大的家族也會僱用他們參加作戰。擁有厚重的鋼甲(當然是黑色的)、堅實的盾牌，甚至為戰馬提供防禦的馬鎧，剝皮鐵騎能夠短時間內在戰場上發起毀滅性的衝鋒。他們標誌性的戰爭鏈枷使得大多數的防禦變得微不足道，但他們的駭人面貌才是他們最重要的武器。",2021-S02
10404,波頓家族黑衛隊,尖刺鏈枷,,,,波頓家族黑衛隊的冷酷無情是每個與他們對峙過的敵人都知道的事。他們兇殘的尖刺鏈枷使得重型的盾牌也不太起作用。作為波頓家族軍隊戰力中最強大的重裝步兵部隊，黑衛隊十分可靠，可以在戰場上佔據並堅守住任何崗位。,2021
10405,血戲班先鋒,血戲班利刃,,,,,S04
10406,暴鴉團傭兵,軍用長劍,,適應性：*減少此單位1個附屬的1點招募分數。*,,,S04
10407,暴鴉團弓箭手,傭兵長弓,護身短劍,,,,S04
10408,血戲班斑馬騎兵,雜亂軍械,,,,,2021-S03
10409,暴鴉團劍舞者,快速打擊,,,,,S04
10410,僱佣騎士,騎士利刃,,,,,2021
10411,黃金團劍兵,精工長劍,,,,,S04
10412,黃金團弩手,十字弩,護身短劍,,,,2021-S02
10413,黃金團戰象,重踏,,*依據你軍隊中每個黃金團步兵單位僅能組建1隊戰象。*,,,2021-S03
10414,里斯僱傭兵,海賊利刃,,,,里斯的島嶼要塞擁有高聳厚實的城牆以及大量的僱傭兵在海岸巡邏，使其成為一個不具吸引力的攻擊目標。然而，終究是僱傭兵，他們為任何擁有足夠財力在海外僱用他們的人提供服務。對個人榮譽不感一絲興趣，他們只專注於掠奪以及返回母港時等待著他們的豐厚報酬。,S04
10415,石鴉部落戰士,撿拾來的武器,,,,,2021
10501,守夜人老兵,雙手持械,,,,,2021-S03
10502,誓言兄弟,雙手巨劍,,,,,2021
10503,游騎兵追蹤者,反曲弓,護身短劍,,,,2021-S03
10504,白靈,尖牙利爪,,*只能加入有瓊恩•雪諾的軍隊裡。*,,,2021
10505,游騎兵獵人,獵人弓,快速打擊,,,,2021-S03
10506,工匠蠍弩隊,弩箭投射器,武器組員,限制：*你的軍隊至多只能包含2隊工匠弩炮組員。*,,守夜人的工匠以他們的聰明才智而聞名，且沒有人比工匠蠍弩隊更能體現這一點。只需要一蠍特殊的構件和足夠的木材，隊員們就能夠建造出一個能夠遠程投射螺旋弩箭且擁有驚人準確率的機動蠍子弩砲。整個隊伍可以被一發砲彈擊倒。然而，蠍子弩砲本身需要重新定位，且移動速度非常緩慢。,S04
10507,工匠投石器,投石,武器組員,限制：*你的軍隊至多只能包含2隊工匠投石器。*,,,S04
10508,工匠弩手,十字弩,護身短劍,,,"雖然長城及其防禦工事是工匠們的主要職責，他們同時也為整個守夜人軍團提供武器和盔甲。
 因此，他們在戰場上的角色定位並非傳統意義上的前線戰鬥人員。但在面對敵人時，每個人都會希望手邊有武器。十字弩相較於其他武器需要更多的維護和保養，工匠們自然成為二線火力支援的常規選擇。",2021-S01
10509,徵召兵,簡易武器,,,,,2021-S01
10510,守夜人統領,軍用長劍,,限制：*你的軍隊至多只能包含2隊守夜人統領。*,,,S04
10511,"冷手, 神秘的盟友",軍用長劍,,角色:*不能加入有班揚•史塔克的軍隊裡。*,,,S04
10512,游騎兵先鋒,軍用長劍,,,,,2021-S02
10513,影子塔長矛兵,軍用長矛,,,,,2021-S03
10601,雄鹿騎士,雄鹿怒火,,,,,2021-S03
10602,拜拉席恩守望者,戰鎚,,,,,2021
10603,拜拉席恩哨兵,雙戰鎚,,,,,2021-S03
10604,薔薇騎士,軍用長劍,,"效忠：**藍禮•拜拉席恩**
*你的軍隊不能加入不同效忠對象的單位或附屬。*",,,2021-S03
10605,拉赫洛信徒,信仰之劍,,"效忠：**史坦尼斯•拜拉席恩**
*你的軍隊不能加入不同效忠對象的單位或附屬。*",,,S04
10606,雄鹿冠軍騎兵,冠軍之怒,,,,秉承拜拉席恩一貫的重裝武器及重甲的信條，雄鹿冠軍騎兵是身披板甲，騎乘於高大戰馬上的重裝騎士。這些重裝巨獸同時兼具騎兵的機動性以及前線部隊的持久力。明智的指揮官最好保持他們的機動性，用來對抗他們選擇的目標，但如果需要的話，冠軍騎兵也可以比其他騎兵單位更持久的堅守他們的戰線。,2021-S02
10607,龍石島貴族,精工戰錘,,"效忠：**史坦尼斯•拜拉席恩**
*你的軍隊不能加入不同效忠對象的單位或附屬。你的軍隊至多只能包含2隊龍石島貴族。*",,,S04
10608,王黨騎士,王者之劍,,"效忠：**史坦尼斯•拜拉席恩**
*你的軍隊不能加入不同效忠對象的單位或附屬。*",,,S04
10609,拉赫洛后黨騎士,軍用長劍,,"效忠：**史坦尼斯•拜拉席恩**
*你的軍隊不能加入不同效忠對象的單位或附屬。*",,,S04
10610,拉赫洛光明使者,火焰箭矢,護身匕首,"效忠：**史坦尼斯•拜拉席恩**
*你的軍隊不能加入不同效忠對象的單位或附屬。*",,,2021-S01
10611,荊棘守衛,守衛十字弓,軍用長劍,"效忠：**藍禮•拜拉席恩**
*你的軍隊不能加入不同效忠對象的單位或附屬。*",,,2021-S03
10612,高庭槍騎兵,騎槍,,"效忠：**藍禮•拜拉席恩**
*你的軍隊不能加入不同效忠對象的單位或附屬。*",,,2021-S01
10613,高庭長槍兵,軍用長矛,,"效忠：**藍禮•拜拉席恩**
*你的軍隊不能加入不同效忠對象的單位或附屬。*",,,2021-S03
10614,彩虹護衛,精工利刃,,角色:*只能部署包含'藍禮•拜拉席恩，南境之王'的軍隊，藍禮必須附屬本單位。你的軍隊不可以包含洛拉斯•提利爾。你的軍隊不可以包含布蕾妮。*,,藍禮•拜拉席恩國王的彩虹護衛是由各個與眾不同的最強大騎士組成的，他們聲稱最年輕的拜拉席恩是他們的領主與國王。當他們一起抵達戰場時，他們組成了藍禮隊伍中最為致命的核心，能夠守住戰線或包含側翼易受攻擊的單位。而更為重要的是，他們象徵着藍禮國王計劃在他的旗幟下能團結到維斯特洛大陸裡一切的希望與信念。,S04
10615,拜拉席恩戟兵,軍用戰戟,,,,,2021
